number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
1,2026/4/10,9802.IB,9802,"20,280,818",0,7.1727,861,2.3562
2,2026/4/9,9802.IB,9802,"20,280,818",0,7.1726,862,2.3589
3,2026/4/10,269937.IB,269937,"20,261,217",--,--,182,0.4986
4,2026/4/9,269937.IB,269937,"20,261,217",--,--,182,0.4986
5,2026/4/10,269936.IB,269936,"20,260,910",--,--,91,0.2493
6,2026/4/9,269936.IB,269936,"20,260,910",--,--,91,0.2493
7,2026/4/10,269935.IB,269935,"20,260,813",--,--,63,0.1726
8,2026/4/9,269935.IB,269935,"20,260,813",--,--,63,0.1726
9,2026/4/10,269934.IB,269934,"20,260,903",--,--,91,0.2493
10,2026/4/9,269934.IB,269934,"20,260,903",--,--,91,0.2493
11,2026/4/10,269933.IB,269933,"20,260,702",--,--,28,0.0767
12,2026/4/9,269933.IB,269933,"20,260,702",--,--,28,0.0767
13,2026/4/10,269932.IB,269932,"20,260,820",--,--,91,0.2493
14,2026/4/9,269932.IB,269932,"20,260,820",--,--,91,0.2493
15,2026/4/10,269931.IB,269931,"20,261,119",--,--,182,0.4986
16,2026/4/9,269931.IB,269931,"20,261,119",--,--,182,0.4986
17,2026/4/10,269930.IB,269930,"20,260,717",--,--,63,0.1726
18,2026/4/9,269930.IB,269930,"20,260,717",--,--,63,0.1726
19,2026/4/10,269929.IB,269929,"20,260,813",--,--,91,0.2493
20,2026/4/9,269929.IB,269929,"20,260,813",--,--,91,0.2493
21,2026/4/10,269928.IB,269928,"20,260,806",--,--,91,0.2493
22,2026/4/9,269928.IB,269928,"20,260,806",--,--,91,0.2493
23,2026/4/10,269926.IB,269926,"20,260,723",--,--,91,0.2493
24,2026/4/9,269926.IB,269926,"20,260,723",--,--,91,0.2493
25,2026/4/10,269925.IB,269925,"20,261,022",--,--,182,0.4986
26,2026/4/9,269925.IB,269925,"20,261,022",--,--,182,0.4986
27,2026/4/10,269924.IB,269924,"20,260,716",--,--,91,0.2493
28,2026/4/9,269924.IB,269924,"20,260,716",--,--,91,0.2493
29,2026/4/10,269922.IB,269922,"20,260,617",--,--,63,0.1726
30,2026/4/9,269922.IB,269922,"20,260,617",--,--,63,0.1726
31,2026/4/10,269921.IB,269921,"20,260,709",--,--,90,0.2466
32,2026/4/9,269921.IB,269921,"20,260,709",--,--,91,0.2493
33,2026/4/10,269920.IB,269920,"20,260,702","6,700,000,000.00",1.1702,83,0.2274
34,2026/4/9,269920.IB,269920,"20,260,702","5,530,000,000.00",1.1599,84,0.2301
35,2026/4/10,269919.IB,269919,"20,260,624",0,1.1798,75,0.2055
36,2026/4/9,269919.IB,269919,"20,260,624","2,620,000,000.00",1.1798,76,0.2082
37,2026/4/10,269918.IB,269918,"20,260,618","80,000,000.00",1.17,69,0.189
38,2026/4/9,269918.IB,269918,"20,260,618","130,000,000.00",1.17,70,0.1918
39,2026/4/10,269913.IB,269913,"20,260,903",0,1.1303,146,0.4
40,2026/4/9,269913.IB,269913,"20,260,903",0,1.1307,147,0.4027
41,2026/4/10,269907.IB,269907,"20,260,805","600,000,000.00",1.1799,117,0.3205
