number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
1,2026/4/10,267710.IB,267710,"20,260,924",0,1.408,167,0.4575
2,2026/4/9,267710.IB,267710,"20,260,924",0,1.4082,168,0.4603
3,2026/4/10,267709.IB,267709,"20,260,917","20,000,000.00",1.3951,160,0.4384
4,2026/4/9,267709.IB,267709,"20,260,917",0,1.4028,161,0.4411
5,2026/4/10,267708.IB,267708,"20,260,910","60,000,000.00",1.3801,153,0.4192
6,2026/4/9,267708.IB,267708,"20,260,910",0,1.396,154,0.4219
7,2026/4/10,267707.IB,267707,"20,260,903",0,1.3878,146,0.4
8,2026/4/9,267707.IB,267707,"20,260,903",0,1.3885,147,0.4027
9,2026/4/10,267706.IB,267706,"20,260,810",0,1.3776,122,0.3342
10,2026/4/9,267706.IB,267706,"20,260,810",0,1.3787,123,0.337
11,2026/4/10,267705.IB,267705,"20,260,803",0,1.4024,115,0.3151
12,2026/4/9,267705.IB,267705,"20,260,803",0,1.4035,116,0.3178
13,2026/4/10,267704.IB,267704,"20,260,727",0,1.465,108,0.2959
14,2026/4/9,267704.IB,267704,"20,260,727",0,1.465,109,0.2986
15,2026/4/10,267703.IB,267703,"20,260,720",0,1.379,101,0.2767
16,2026/4/9,267703.IB,267703,"20,260,720","250,000,000.00",1.3801,102,0.2795
17,2026/4/10,267702.IB,267702,"20,260,713",0,1.4245,94,0.2575
18,2026/4/9,267702.IB,267702,"20,260,713",0,1.4251,95,0.2603
19,2026/4/10,267701.IB,267701,"20,260,706",0,1.4072,87,0.2384
20,2026/4/9,267701.IB,267701,"20,260,706",0,1.4085,88,0.2411
21,2026/4/10,260214.IB,260214,"20,290,106","1,250,000,000.00",1.5447,"1,002",2.7425
22,2026/4/9,260214.IB,260214,"20,290,106","970,000,000.00",1.5706,"1,003",2.7452
23,2026/4/10,260205.IB,260205,"20,360,306","45,480,000,000.00",1.917,"3,618",9.9041
24,2026/4/9,260205.IB,260205,"20,360,306","34,030,000,000.00",1.915,"3,619",9.9068
25,2026/4/10,260203.IB,260203,"20,310,311","3,960,000,000.00",1.685,"1,796",4.9178
26,2026/4/9,260203.IB,260203,"20,310,311","6,500,000,000.00",1.6875,"1,797",4.9205
27,2026/4/10,260202.IB,260202,"20,280,304","1,240,000,000.00",1.54,694,1.8986
28,2026/4/9,260202.IB,260202,"20,280,304","1,250,000,000.00",1.535,695,1.9014
29,2026/4/10,260201.IB,260201,"20,270,302","1,730,000,000.00",1.42,326,0.8932
30,2026/4/9,260201.IB,260201,"20,270,302","5,622,500,000.00",1.42,327,0.8959
31,2026/4/10,250220.IB,250220,"20,350,905","276,180,000,000.00",1.9371,"3,435",9.4055
32,2026/4/9,250220.IB,250220,"20,350,905","310,879,600,000.00",1.946,"3,436",9.4082
33,2026/4/10,250218.IB,250218,"20,301,022","20,528,000,000.00",1.6675,"1,656",4.5342
34,2026/4/9,250218.IB,250218,"20,301,022","22,883,000,000.00",1.6775,"1,657",4.537
