number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
1,2026/4/13,020005.IB,20005,"20,320,524",0,1.5866,"2,233",6.1123
2,2026/4/13,030014.IB,30014,"20,331,215",0,1.6396,"2,803",7.674
3,2026/4/13,060009.IB,60009,"20,260,626",0,0.0896,74,0.2027
4,2026/4/13,070006.IB,70006,"20,370,517",0,1.6893,"4,052",11.0932
5,2026/4/13,070013.IB,70013,"20,270,816",0,0.5311,490,1.3425
6,2026/4/13,080006.IB,80006,"20,380,508",0,1.645,"4,408",12.0685
7,2026/4/13,080013.IB,80013,"20,280,811",0,0.5232,851,2.3288
8,2026/4/13,080020.IB,80020,"20,381,023",0,1.879,"4,576",12.5288
9,2026/4/13,090002.IB,90002,"20,290,219",0,0.9122,"1,043",2.8548
10,2026/4/13,090005.IB,90005,"20,390,409","300,000,000.00",1.78,"4,744",12.989
11,2026/4/13,090020.IB,90020,"20,290,827",0,0.888,"1,232",3.3726
12,2026/4/13,090025.IB,90025,"20,391,015",0,1.9271,"4,933",13.5068
13,2026/4/13,090030.IB,90030,"20,591,130",0,3.0892,"12,284",33.6329
14,2026/4/13,100003.IB,100003,"20,400,301",0,1.8715,"5,071",13.8822
15,2026/4/13,100009.IB,100009,"20,300,415",0,1.0527,"1,463",4.0055
16,2026/4/13,100014.IB,100014,"20,600,524",0,2.2281,"12,460",34.1123
17,2026/4/13,100018.IB,100018,"20,400,621",0,1.8881,"5,183",14.189
18,2026/4/13,100023.IB,100023,"20,400,729",0,1.8991,"5,221",14.2932
19,2026/4/13,100026.IB,100026,"20,400,816",0,1.8891,"5,239",14.3425
20,2026/4/13,100029.IB,100029,"20,300,902",0,1.1182,"1,603",4.389
21,2026/4/13,100037.IB,100037,"20,601,118",0,2.3597,"12,638",34.6
22,2026/4/13,100040.IB,100040,"20,401,209",0,1.8887,"5,354",14.6575
23,2026/4/13,110005.IB,110005,"20,410,224",0,1.874,"5,431",14.8685
24,2026/4/13,110010.IB,110010,"20,310,428",0,1.2615,"1,841",5.0411
25,2026/4/13,110012.IB,110012,"20,610,526",0,2.3514,"12,827",35.1178
26,2026/4/13,110016.IB,110016,"20,410,623",0,1.8786,"5,550",15.1945
