number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond,
1,2026-04-13,010221.IB,010221,"20,320,112",0.0000,1.7224,"2,100",5.7507,
2,2026-04-13,050220.IB,050220,"20,351,011",0.0000,1.8893,"3,468",9.4959,
3,2026-04-13,060219.IB,060219,"20,260,905",--,--,145,0.3973,
4,2026-04-13,060224.IB,060224,"20,361,030",0.0000,1.9530,"3,853",10.5479,
5,2026-04-13,070207.IB,070207,"20,270,524",--,--,406,1.1123,
6,2026-04-13,080209.IB,080209,"20,280,610",0.0000,0.3731,789,2.1589,
7,2026-04-13,080211.IB,080211,"20,280,624","60,000,000.0000",1.5650,803,2.1973,
8,2026-04-13,090206.IB,090206,"20,290,708",0.0000,1.5641,"1,182",3.2356,
9,2026-04-13,090219.IB,090219,"20,291,104",0.0000,1.6257,"1,301",3.5616,
10,2026-04-13,090224.IB,090224,"20,291,222",0.0000,1.6074,"1,349",3.6932,
11,2026-04-13,092302001.IB,092302001,"20,300,109","290,000,000.0000",1.6450,"1,367",3.7425,
12,2026-04-13,092302002.IB,092302002,"20,300,710","50,000,000.0000",1.6725,"1,549",4.2411,
13,2026-04-13,09230220.IB,09230220,"20,430,724","1,455,000,000.0000",2.2200,"6,311",17.2795,
14,2026-04-13,092402001.IB,092402001,"20,270,821",0.0000,1.4381,495,1.3562,
15,2026-04-13,092402002.IB,092402002,"20,271,018",0.0000,1.3813,553,1.5151,
16,2026-04-13,092402003.IB,092402003,"20,271,118",0.0000,1.5417,584,1.6000,
17,2026-04-13,09240201.IB,09240201,"20,310,108","620,000,000.0000",1.6750,"1,731",4.7397,
18,2026-04-13,09240202.IB,09240202,"20,270,412","5,770,000,000.0000",1.4200,364,0.9973,
19,2026-04-13,09240203.IB,09240203,"20,270,902","1,800,000,000.0000",1.4975,507,1.3890,
20,2026-04-13,092502001.IB,092502001,"20,280,616","60,000,000.0000",1.4981,795,2.1753,
21,2026-04-13,092502002.IB,092502002,"20,281,010",0.0000,1.5745,911,2.4932,
22,2026-04-13,092502003.IB,092502003,"20,281,128",0.0000,1.5501,960,2.6274,
23,2026-04-13,09250202.IB,09250202,"20,280,214","1,300,000,000.0000",1.5325,672,1.8411,
24,2026-04-13,09250204.IB,09250204,"20,320,214","50,000,000.0000",1.7400,"2,133",5.8411,
25,2026-04-13,09250207.IB,09250207,"20,280,912","1,210,000,000.0000",1.5880,883,2.4164,
26,2026-04-13,09250209.IB,09250209,"20,320,919",0.0000,1.8195,"2,351",6.4356,
27,2026-04-13,092502101.IB,092502101,"20,280,512",0.0000,1.5366,760,2.0795,
28,2026-04-13,09250212.IB,09250212,"20,271,121",0.0000,1.5298,587,1.6082,
29,2026-04-13,092602001.IB,092602001,"20,290,410","300,000,000.0000",1.5422,"1,093",2.9918,
30,2026-04-13,09260202.IB,09260202,"20,290,424",--,--,"1,096",3.0000,
31,2026-04-13,09260204.IB,09260204,"20,330,109","880,000,000.0000",1.7932,"2,463",6.7425,
32,2026-04-13,09260205.IB,09260205,"20,360,605",--,--,"3,653",10.0000,
33,2026-04-13,100205.IB,100205,"20,300,317",0.0000,1.6543,"1,434",3.9260,
34,2026-04-13,100207.IB,100207,"20,400,407",0.0000,2.1867,"5,108",13.9836,
35,2026-04-13,100232.IB,100232,"20,401,116",0.0000,2.2080,"5,331",14.5945,
36,2026-04-13,100241.IB,100241,"20,410,111",--,--,"5,387",14.7479,
37,2026-04-13,110209.IB,110209,"20,410,223",0.0000,2.1882,"5,430",14.8658,
38,2026-04-13,110256.IB,110256,"20,411,012",0.0000,3.7765,"5,661",15.4986,
39,2026-04-13,1202204.IB,1202204,"20,620,628",--,--,"13,225",36.2082,
40,2026-04-13,1202207.IB,1202207,"20,620,928",--,--,"13,317",36.4603,
41,2026-04-13,120251.IB,120251,"20,421,225",0.0000,3.8451,"6,100",16.7014,
42,2026-04-13,120252.IB,120252,"20,621,225",0.0000,5.5985,"13,405",36.7014,
43,2026-04-13,1302202.IB,1302202,"20,280,602",--,--,781,2.1370,
44,2026-04-13,1302204.IB,1302204,"20,630,419",--,--,"13,520",37.0164,
45,2026-04-13,1302205.IB,1302205,"20,630,801",--,--,"13,624",37.3014,
46,2026-04-13,140217.IB,140217,"20,290,704",0.0000,1.5861,"1,178",3.2247,
47,2026-04-13,1502201.IB,1502201,"20,650,402",--,--,"14,234",38.9699,
48,2026-04-13,160205.IB,160205,"20,360,125","40,000,000.0000",1.8925,"3,574",9.7863,
49,2026-04-13,160213.IB,160213,"20,260,825","140,000,000.0000",1.3649,134,0.3671,
50,2026-04-13,160216.IB,160216,"20,461,104",0.0000,2.3538,"7,510",20.5616,
