instrument_code,valuation_date,price,volume,dividend_yield
000001.SZ,6/12/2025,11.68,129022047,0.052055
000001.SZ,6/13/2025,11.58,109549419,0.052504
000001.SZ,6/16/2025,11.79,117443827,0.051569
000001.SZ,6/17/2025,11.76,89002734,0.051701
000001.SZ,6/18/2025,11.77,68352111,0.051657
000001.SZ,6/19/2025,11.7,83224716,0.051966
000001.SZ,6/20/2025,11.84,130919782,0.051351
000001.SZ,6/23/2025,11.93,138917048,0.050964
000001.SZ,6/24/2025,11.93,130852531,0.050964
000001.SZ,6/25/2025,12.06,167511647,0.050415
000001.SZ,6/26/2025,12.41,217457766,0.048993
000001.SZ,6/27/2025,12.2,237760015,0.049836
000001.SZ,6/30/2025,12.07,150481965,0.049544
000001.SZ,7/1/2025,12.3,135434108,0.048618
000001.SZ,7/2/2025,12.32,120041184,0.048539
000001.SZ,7/3/2025,12.35,79408597,0.048421
000001.SZ,7/4/2025,12.6,177533267,0.04746
000001.SZ,7/7/2025,12.78,149540653,0.046792
000001.SZ,7/8/2025,12.69,109098597,0.047124
000001.SZ,7/9/2025,12.84,120596330,0.046573
000001.SZ,7/10/2025,13.18,248141553,0.045372
000001.SZ,7/11/2025,12.91,244374350,0.046321
000001.SZ,7/14/2025,12.98,187289585,0.046071
000001.SZ,7/15/2025,12.73,181053131,0.046976
000001.SZ,7/16/2025,12.64,192786379,0.04731
000001.SZ,7/17/2025,12.59,94464140,0.047498
000001.SZ,7/18/2025,12.7,124120611,0.047087
000001.SZ,7/21/2025,12.61,107902662,0.047423
000001.SZ,7/22/2025,12.49,193522916,0.047878
000001.SZ,7/23/2025,12.53,137052000,0.047725
000001.SZ,7/24/2025,12.35,195935057,0.048421
000001.SZ,7/25/2025,12.35,110826666,0.048421
000001.SZ,7/28/2025,12.46,123824278,0.047994
000001.SZ,7/29/2025,12.34,101281801,0.04846
000001.SZ,7/30/2025,12.49,171516360,0.047878
000001.SZ,7/31/2025,12.23,169008125,0.048896
000001.SZ,8/1/2025,12.28,101218698,0.048697
000001.SZ,8/4/2025,12.3,103268969,0.048618
000001.SZ,8/5/2025,12.47,113207820,0.047955
000001.SZ,8/6/2025,12.46,69044765,0.047994
000001.SZ,8/7/2025,12.47,72205305,0.047955
000001.SZ,8/8/2025,12.4,82979591,0.048226
000001.SZ,8/11/2025,12.3,93435315,0.048618
000001.SZ,8/12/2025,12.33,68005619,0.0485
000001.SZ,8/13/2025,12.26,111981305,0.048777
000001.SZ,8/14/2025,12.2,124104129,0.049016
000001.SZ,8/15/2025,12.08,194850295,0.049503
000001.SZ,8/18/2025,12.08,123905837,0.049503
000001.SZ,8/19/2025,12.06,89285989,0.049585
000001.SZ,8/20/2025,12.07,104873853,0.049544
000001.SZ,8/21/2025,12.15,121741825,0.049218
000001.SZ,8/22/2025,12.06,164425977,0.049585
000001.SZ,8/25/2025,12.45,304508753,0.048032
000001.SZ,8/26/2025,12.36,138359861,0.048382
000001.SZ,8/27/2025,12.06,186004950,0.049585
000001.SZ,8/28/2025,12.08,165358793,0.049503
000001.SZ,8/29/2025,12.05,180512568,0.049627
000001.SZ,9/1/2025,11.89,185845902,0.050294
000001.SZ,9/2/2025,11.98,149271566,0.049917
000001.SZ,9/3/2025,11.75,136723249,0.050894
000001.SZ,9/4/2025,11.74,129530002,0.050937
000001.SZ,9/5/2025,11.72,81966156,0.051024
000001.SZ,9/8/2025,11.7,92443104,0.051111
