valuation_date,currency,rate_to_cny
2024-06-03,USD,7.1257
2024-06-04,USD,7.0647
2024-06-05,USD,7.2688
2024-07-11,HKD,0.92953
2024-07-12,HKD,0.92857
2024-07-15,HKD,0.92989
2024-07-16,HKD,0.93092
2024-07-17,HKD,0.92998
2024-07-18,HKD,0.92955
2024-07-19,HKD,0.93075
2024-07-22,HKD,0.93165
2024-07-23,HKD,0.93152
2024-07-24,HKD,0.93006
2024-07-25,HKD,0.92626
2024-07-26,HKD,0.92869
2024-07-29,HKD,0.92947
2024-07-30,HKD,0.92802
2024-07-31,HKD,0.92402
2024-08-01,HKD,0.92697
2024-08-02,HKD,0.91704
2024-08-05,HKD,0.91532
2024-08-06,HKD,0.91804
2024-08-07,HKD,0.92017
2024-08-08,HKD,0.92039
2024-08-09,HKD,0.91899
2024-08-12,HKD,0.9208
2024-08-13,HKD,0.91866
2024-08-14,HKD,0.91599
2024-08-15,HKD,0.92003
2024-08-16,HKD,0.91917
2024-08-19,HKD,0.91662
2024-08-20,HKD,0.9157
2024-08-21,HKD,0.91535
2024-08-22,HKD,0.91616
2024-08-23,HKD,0.91375
2024-08-26,HKD,0.91336
2024-08-27,HKD,0.91315
2024-08-28,HKD,0.91322
2024-08-29,HKD,0.91011
2024-08-30,HKD,0.90928
2024-09-02,HKD,0.91278
2024-09-03,HKD,0.91304
2024-09-04,HKD,0.91214
2024-09-05,HKD,0.91001
2024-09-06,HKD,0.90916
2024-09-09,HKD,0.91225
2024-09-10,HKD,0.91315
2024-09-11,HKD,0.91286
2024-09-12,HKD,0.9121
2024-09-13,HKD,0.90939
2024-09-16,HKD,0.91019
2024-09-17,HKD,0.90999
2024-09-18,HKD,0.9086
2024-09-19,HKD,0.90667
2024-09-20,HKD,0.90504
2024-09-23,HKD,0.90542
2024-09-24,HKD,0.90323
2024-09-25,HKD,0.90321
2024-09-26,HKD,0.90117
2024-09-27,HKD,0.90206
2024-09-30,HKD,0.90284
2024-10-01,HKD,0.90296
2024-10-02,HKD,0.90388
2024-10-03,HKD,0.90383
2024-10-04,HKD,0.90351
2024-10-07,HKD,0.90364
2024-10-08,HKD,0.90786
2024-10-09,HKD,0.91106
2024-10-10,HKD,0.91103
2024-10-11,HKD,0.9093
2024-10-14,HKD,0.9128
2024-10-15,HKD,0.91656
2024-10-16,HKD,0.91616
2024-10-17,HKD,0.91637
2024-10-18,HKD,0.91387
2024-10-21,HKD,0.91579
2024-10-22,HKD,0.91644
2024-10-23,HKD,0.91713
2024-10-24,HKD,0.91621
2024-10-25,HKD,0.91631
2024-10-28,HKD,0.9168
2024-10-29,HKD,0.91748
2024-10-30,HKD,0.91542
2024-10-31,HKD,0.91566
2024-11-01,HKD,0.91563
2024-11-04,HKD,0.91337
2024-11-05,HKD,0.91405
2024-11-06,HKD,0.92309
2024-11-07,HKD,0.91898
2024-11-08,HKD,0.92329
2024-11-11,HKD,0.92769
2024-11-12,HKD,0.92977
2024-11-13,HKD,0.9285
2024-11-14,HKD,0.92873
2024-11-15,HKD,0.92871
2024-11-18,HKD,0.92969
2024-11-19,HKD,0.93
2024-11-20,HKD,0.93091
2024-11-21,HKD,0.92982
2024-11-22,HKD,0.93078
2024-11-25,HKD,0.93023
2024-11-26,HKD,0.93176
2024-11-27,HKD,0.93113
2024-11-28,HKD,0.93066
2024-11-29,HKD,0.93062
2024-12-02,HKD,0.93441
2024-12-03,HKD,0.93614
2024-12-04,HKD,0.93303
2024-12-05,HKD,0.93278
2024-12-06,HKD,0.93453
2024-12-09,HKD,0.93386
2024-12-10,HKD,0.93256
2024-12-11,HKD,0.93378
2024-12-12,HKD,0.93489
2024-12-13,HKD,0.93565
2024-12-16,HKD,0.93688
2024-12-17,HKD,0.93758
2024-12-18,HKD,0.9377
2024-12-19,HKD,0.93899
2024-12-20,HKD,0.9382
2024-12-23,HKD,0.93928
2024-12-24,HKD,0.93913
2024-12-25,HKD,0.93952
2024-12-26,HKD,0.93947
2024-12-27,HKD,0.94021
2024-12-30,HKD,0.93984
2024-12-31,HKD,0.9396
2025-01-01,HKD,0.9396
2025-01-02,HKD,0.93861
2025-01-03,HKD,0.94098
2025-01-06,HKD,0.94171
2025-01-07,HKD,0.94206
2025-01-08,HKD,0.9425
2025-01-09,HKD,0.94211
2025-01-10,HKD,0.94159
2025-01-13,HKD,0.94169
2025-01-14,HKD,0.94147
2025-01-15,HKD,0.94132
2025-01-16,HKD,0.94148
2025-01-17,HKD,0.94077
2025-01-20,HKD,0.93836
2025-01-21,HKD,0.93398
2025-01-22,HKD,0.93378
2025-01-23,HKD,0.93563
2025-01-24,HKD,0.93024
2025-01-27,HKD,0.93096
2025-01-28,HKD,0.93073
2025-01-29,HKD,0.93051
2025-01-30,HKD,0.93054
2025-01-31,HKD,0.93044
2025-02-03,HKD,0.93042
2025-02-04,HKD,0.93102
2025-02-05,HKD,0.9339
2025-02-06,HKD,0.93599
2025-02-07,HKD,0.93543
2025-02-10,HKD,0.93781
2025-02-11,HKD,0.93776
2025-02-12,HKD,0.9382
2025-02-13,HKD,0.93585
2025-02-14,HKD,0.9317
2025-02-17,HKD,0.9335
2025-02-18,HKD,0.93617
2025-02-19,HKD,0.93647
2025-02-20,HKD,0.93297
2025-02-21,HKD,0.93309
2025-02-24,HKD,0.93217
2025-02-25,HKD,0.93275
2025-02-26,HKD,0.93379
2025-02-27,HKD,0.9367
2025-02-28,HKD,0.93621
2025-03-03,HKD,0.93663
